Row,SampleID,Set,Species,Date_sampling,Date_extraction,Type,Tissue,sample_vol_uL,CW_mm,Tag_no_Crab_ID,Sex,Dev,Shell,Chela_Clutch,Haul_Station,Latitude,Longitude,Time_storage_mo,Refract_PPT,Refract_D2020,Notes
139,BESFA.23.4.15.HP1,Field Validation,Chionoecetes opilio,2023.07.25,2024.04.02,DTS,HP,NA,50.86,FV15,F,mat,NA,C415,191_R27,60.65801,-174.8269,8,NA,NA,"orange, uneyed, 3/4 full"
140,BESFA.23.4.15.HP2,Field Validation,Chionoecetes opilio,2023.07.25,2024.04.02,Tissue,HP,NA,50.86,FV15,F,mat,NA,C415,191_R27,60.65801,-174.8269,8,NA,NA,"orange, uneyed, 3/4 full"
141,BESFA.23.4.16.HL,Field Validation,Chionoecetes opilio,2023.07.25,2024.04.02,DTS,HL,200,50.96,FV16,F,imm,NA,C000,191_R27,60.65801,-174.8269,8,NA,NA,"immature, no eggs"
142,BESFA.23.4.16.HP1,Field Validation,Chionoecetes opilio,2023.07.25,2024.04.02,DTS,HP,NA,50.96,FV16,F,imm,NA,C000,191_R27,60.65801,-174.8269,8,NA,NA,"immature, no eggs"
143,BESFA.23.4.16.HP2,Field Validation,Chionoecetes opilio,2023.07.25,2024.04.02,Tissue,HP,NA,50.96,FV16,F,imm,NA,C000,191_R27,60.65801,-174.8269,8,NA,NA,"immature, no eggs"
144,BESFA.23.4.17.HL,Field Validation,Chionoecetes opilio,2023.07.25,2024.04.02,DTS,HL,200,53.82,FV17,F,imm,NA,C000,191_R27,60.65801,-174.8269,8,NA,NA,"immature, no eggs"
145,BESFA.23.4.17.HP1,Field Validation,Chionoecetes opilio,2023.07.25,2024.04.02,DTS,HP,NA,53.82,FV17,F,imm,NA,C000,191_R27,60.65801,-174.8269,8,NA,NA,"immature, no eggs"
146,BESFA.23.4.17.HP2,Field Validation,Chionoecetes opilio,2023.07.25,2024.04.02,Tissue,HP,NA,53.82,FV17,F,imm,NA,C000,191_R27,60.65801,-174.8269,8,NA,NA,"immature, no eggs"
147,BESFA.23.4.18.HL,Field Validation,Chionoecetes opilio,2023.07.25,2024.04.02,DTS,HL,200,51.54,FV18,F,imm,NA,C000,191_R27,60.65801,-174.8269,8,NA,NA,"immature, no eggs"
148,BESFA.23.4.18.HP1,Field Validation,Chionoecetes opilio,2023.07.25,2024.04.02,DTS,HP,NA,51.54,FV18,F,imm,NA,C000,191_R27,60.65801,-174.8269,8,NA,NA,"immature, no eggs"
149,BESFA.23.4.18.HP2,Field Validation,Chionoecetes opilio,2023.07.25,2024.04.02,Tissue,HP,NA,51.54,FV18,F,imm,NA,C000,191_R27,60.65801,-174.8269,8,NA,NA,"immature, no eggs"
150,BESFA.23.4.19.HL,Field Validation,Chionoecetes opilio,2023.07.25,2024.04.02,DTS,HL,200,52.98,FV19,F,imm,NA,C000,191_R27,60.65801,-174.8269,8,NA,NA,"immature, no eggs"
151,BESFA.23.4.19.HP1,Field Validation,Chionoecetes opilio,2023.07.25,2024.04.02,DTS,HP,NA,52.98,FV19,F,imm,NA,C000,191_R27,60.65801,-174.8269,8,NA,NA,"immature, no eggs"
152,BESFA.23.4.19.HP2,Field Validation,Chionoecetes opilio,2023.07.25,2024.04.02,Tissue,HP,NA,52.98,FV19,F,imm,NA,C000,191_R27,60.65801,-174.8269,8,NA,NA,"immature, no eggs"
153,BESFA.23.4.20.HL,Field Validation,Chionoecetes opilio,2023.07.25,2024.04.02,DTS,HL,200,48.67,FV20,F,imm,NA,C000,191_R27,60.65801,-174.8269,8,NA,NA,"immature, no eggs"
154,BESFA.23.4.20.HP1,Field Validation,Chionoecetes opilio,2023.07.25,2024.04.02,DTS,HP,NA,48.67,FV20,F,imm,NA,C000,191_R27,60.65801,-174.8269,8,NA,NA,"immature, no eggs"
155,BESFA.23.4.20.HP2,Field Validation,Chionoecetes opilio,2023.07.25,2024.04.02,Tissue,HP,NA,48.67,FV20,F,imm,NA,C000,191_R27,60.65801,-174.8269,8,NA,NA,"immature, no eggs"
